Id_negara,Nama_negara
1,Malaysia
2,Singapura
3,Australia
4,Amerika Serikat
5,China
6,Jepang
7,India
8,Timor Leste
9,Belanda
10,Brazil
11,Canada
12,Germany
13,France
14,Italy
15,Spain
16,United Kingdom
17,Russia
18,South Africa
19,Argentina
20,Pakistan
21,Bangladesh
22,Nigeria
23,Egypt
24,Turkey
25,Iran
26,Vietnam
27,Philippines
28,Thailand
29,South Korea
30,Saudi Arabia
31,Mexico
32,Indonesia
33,Sweden
34,Norway
35,Denmark
36,Finland
37,Greece
38,Switzerland
39,Portugal
40,New Zealand
41,Ireland
42,Poland
43,Ukraine
44,Israel
45,Hungary
46,Czech Republic
47,Romania
48,Singapore
49,Hong Kong
50,Maldives
